Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
100075,43,24567,49650,827,60,No
100076,60,68847,28290,653,24,No
100077,41,124817,35699,300,60,No
100078,36,68003,49252,719,60,No
100079,38,40389,38146,460,12,No
100080,44,64523,8293,460,48,Yes
100081,46,143802,49398,427,60,No
100082,45,81576,21608,450,60,Yes
100083,61,147342,5737,743,36,No
100084,49,63919,21619,770,48,Yes
100085,35,102103,17470,762,48,No
100086,21,142443,27372,329,48,Yes
100087,45,23358,21117,772,24,No
100088,27,108535,19779,379,12,No
100089,29,127894,34294,338,12,No
100090,44,141485,26630,539,36,Yes
100091,21,96524,45039,636,48,No
100092,64,143416,17178,579,48,No
100093,28,125982,24935,415,60,No
100094,44,117057,27784,568,24,Yes
100095,31,25698,28027,634,24,No
100096,37,86809,36008,611,36,No
100097,28,113079,6823,352,12,No
100098,55,75805,11852,367,48,No
100099,55,51349,18072,333,36,No
100100,53,96777,16133,685,24,Yes
100101,25,70248,20111,548,24,No
100102,62,95033,37312,410,24,Yes
100103,59,127411,29161,393,48,Yes
100104,61,118239,44287,709,48,Yes
100105,48,64041,6777,478,48,Yes
100106,27,51954,29014,346,60,No
100107,29,28002,19772,675,12,Yes
100108,28,89783,49627,501,24,Yes
100109,32,127524,23161,744,24,No
100110,54,107234,47264,596,60,Yes
100111,53,144857,12490,607,24,No
100112,43,39738,46661,792,24,No
100113,44,30703,29502,637,48,No
100114,57,133776,40757,365,48,Yes
100115,55,69422,46111,721,12,Yes
100116,64,103106,37737,839,24,No
100117,60,81899,22709,792,36,No
100118,42,32392,49682,616,24,Yes
100119,47,64724,13998,374,24,No
100120,55,52299,33906,358,12,Yes
100121,21,35641,40490,685,36,No
100122,55,99534,9656,314,24,Yes
100123,57,26305,41901,530,36,No
100124,34,118262,30735,498,48,Yes
100125,23,38782,34092,653,48,Yes
100126,21,98257,6242,334,36,Yes
100127,25,125299,46307,461,24,No
100128,46,97963,6831,770,36,No
100129,34,132086,33511,830,36,No
100130,59,141987,12246,722,48,No
100131,47,40566,36467,647,36,No
100132,29,144591,23302,446,60,No
100133,35,87766,8232,673,60,No
100134,35,26511,41526,715,48,Yes
100135,46,134816,43765,793,24,No
100136,62,127765,15972,555,24,No
100137,33,138360,39592,402,48,Yes
100138,52,46177,15683,420,24,Yes
100139,59,24765,28664,718,12,No
100140,52,40354,41828,649,60,No
100141,24,43929,38172,341,12,No
100142,50,48820,23105,666,12,No
100143,57,131576,26700,328,12,No
100144,43,49523,16017,313,48,Yes
100145,59,91088,41613,784,12,Yes
100146,35,86163,25594,488,36,Yes
100147,63,97525,16384,594,24,Yes
100148,49,33780,35348,482,48,Yes
100149,56,26589,21448,847,36,No
100150,33,54812,14491,336,36,No
100151,52,113664,18112,313,60,No
100152,27,65939,36021,458,60,Yes
100153,42,71493,49553,793,36,No
100154,48,124188,5968,628,60,No
100155,22,113326,5368,382,24,No
100156,62,60953,13424,321,24,Yes
100157,26,85785,40010,431,60,Yes
100158,48,39309,40851,764,12,No
100159,48,74195,30496,755,36,No
100160,64,135662,35936,601,24,No
100161,64,45901,18322,566,60,Yes
100162,40,43576,6469,694,60,No
100163,50,51508,42493,419,24,No
100164,31,94711,9259,545,24,Yes
100165,48,45464,41390,337,12,No
100166,45,80281,15292,544,60,Yes
100167,59,36260,31841,320,60,Yes
100168,53,144997,33365,409,48,Yes
100169,21,55440,22207,693,12,No
100170,47,115082,41199,709,24,Yes
100171,33,125583,27912,307,24,Yes
100172,61,76683,41919,743,36,Yes
100173,23,144206,41981,627,24,Yes
100174,59,61430,20235,589,60,No
100175,26,21987,46757,810,24,Yes
100176,28,134778,38547,660,60,Yes
100177,47,45105,48810,518,60,Yes
100178,29,98484,24276,705,12,No
100179,57,138747,36923,519,24,No
100180,53,33026,10534,406,12,Yes
100181,62,88309,31469,585,60,Yes
100182,64,65927,41074,307,24,Yes
100183,44,95414,40670,488,24,Yes
100184,35,77535,37563,380,12,No
100185,52,62946,41486,407,12,No
100186,52,146503,5021,620,60,No
100187,44,76561,39268,645,60,Yes
100188,61,30377,46802,627,24,No
100189,32,73592,20799,601,24,No
100190,59,27347,31336,499,48,No
100191,22,53776,8641,718,48,No
100192,23,23783,26596,338,36,No
100193,57,75798,37959,606,60,No
100194,37,24298,18306,303,36,Yes
100195,22,90204,13587,376,36,No
100196,22,106207,36359,767,12,Yes
100197,48,120356,26498,478,12,No
100198,43,75161,9662,575,48,No
100199,57,80652,42094,451,36,No
100200,52,54484,46833,463,48,Yes
100201,53,118614,32197,589,60,Yes
100202,21,149572,25719,677,24,Yes
100203,39,132695,29665,609,12,No
100204,22,40922,48239,688,60,No
100205,64,54028,30032,482,60,No
100206,46,131461,17641,605,12,Yes
100207,52,40316,46964,371,12,No
100208,26,96996,35028,518,36,No
100209,52,36968,20651,472,48,Yes
100210,24,50266,13536,571,60,No
100211,31,145679,11273,767,36,No
100212,37,115745,11284,568,36,No
100213,58,44000,30692,319,60,No
100214,44,143239,13817,802,60,No
100215,25,34011,33955,446,24,Yes
100216,54,22866,31555,728,48,No
100217,26,132669,25378,464,60,No
100218,42,25898,46182,609,12,No
100219,31,38395,22127,817,24,No
100220,36,59019,22952,313,48,Yes
100221,53,123243,16539,431,12,No
100222,29,24006,19692,738,12,No
100223,26,54393,23120,562,48,No
100224,36,30956,18334,524,24,Yes
100225,49,70042,33615,557,12,No
100226,23,116199,12903,533,36,No
100227,40,26078,33527,635,48,Yes
100228,56,49631,20629,708,48,Yes
100229,39,115676,22740,323,60,No
100230,46,141724,38782,570,24,No
100231,23,82901,31708,394,36,No
100232,39,127227,15860,441,36,Yes
100233,40,89497,22438,380,60,Yes
100234,52,114813,6764,573,12,No
100235,27,137192,11009,575,12,Yes
100236,61,61574,25842,764,36,No
100237,53,138494,47372,507,24,Yes
100238,60,51417,38435,595,12,Yes
100239,59,108020,8370,338,48,Yes
100240,38,103639,43744,587,60,No
100241,60,85006,25454,423,24,Yes
100242,21,114881,46381,582,12,Yes
100243,31,131862,43367,479,36,No
100244,48,59454,8650,396,60,No
100245,45,21587,30708,490,12,No
100246,43,141688,47662,373,36,Yes
100247,51,128107,8190,746,12,No
100248,50,135584,13789,796,60,No
100249,62,74710,37125,783,48,No
100250,55,143157,38159,415,48,No
100251,27,106567,22459,834,36,No
100252,36,111748,40418,397,48,Yes
100253,46,95886,23768,627,60,No
100254,22,38816,20563,706,36,No
100255,21,105824,32885,612,12,No
100256,32,49432,26885,447,24,Yes
100257,25,129758,11895,641,12,No
100258,57,68617,28958,794,60,No
100259,52,92373,6531,322,36,Yes
100260,29,54217,10481,404,12,No
100261,61,40884,28932,521,36,No
100262,55,25454,26360,314,48,No
100263,39,94960,48642,377,24,Yes
100264,36,122421,29829,621,60,No
100265,23,127173,24932,540,12,No
100266,40,63618,43931,317,24,Yes
100267,44,103948,43032,753,60,No
100268,53,82671,20890,742,60,No
100269,44,67111,23807,576,48,No
100270,31,59613,16767,723,36,No
100271,28,105678,13071,775,36,Yes
100272,56,140592,31149,326,24,Yes
100273,58,122928,20540,813,48,No
100274,60,144917,40676,763,60,Yes
100275,40,79993,9712,662,48,No
100276,55,148652,31201,682,48,Yes
100277,45,28848,49958,824,24,No
100278,55,134853,24899,681,36,No
100279,45,98672,24787,483,48,Yes
100280,49,139279,25982,493,48,Yes
100281,38,86125,27606,761,48,No
100282,38,106444,15150,355,12,Yes
100283,22,137509,25393,529,48,Yes
100284,55,81602,42259,788,48,No
100285,36,92045,32750,327,60,Yes
100286,61,125997,13593,483,12,Yes
100287,56,62222,22358,724,48,No
100288,53,69223,21607,674,48,Yes
100289,24,130012,42381,340,24,Yes
100290,53,131246,29811,783,24,Yes
100291,34,85333,33074,559,12,Yes
100292,41,72732,25595,740,60,No
100293,40,142650,49194,383,12,Yes
100294,28,69420,31853,345,12,No
100295,27,95504,13183,739,24,No
100296,23,22462,25661,818,24,Yes
100297,37,29460,46169,737,60,No
100298,53,119319,41495,435,48,Yes
100299,32,145602,18703,482,60,Yes
100300,42,29275,35815,471,48,Yes
100301,42,114213,34565,838,36,No
100302,50,33269,27942,419,24,No
100303,58,149593,47986,580,36,Yes
100304,58,142672,38161,607,36,No
100305,28,85942,46803,576,24,No
100306,47,92920,14716,829,36,No
100307,47,140737,46563,594,12,No
100308,54,42553,38349,352,48,No
100309,41,44366,47899,731,60,Yes
100310,50,64036,5132,351,24,Yes
100311,53,37369,8385,371,12,No
100312,48,31795,41538,327,60,Yes
100313,53,90021,40036,768,60,No
100314,25,127205,38743,846,60,No
100315,39,88154,45373,700,36,No
100316,24,50143,12213,500,36,No
100317,55,49425,49223,765,36,No
100318,37,108209,31119,678,36,Yes
100319,64,95139,7835,476,12,No
100320,48,125232,7738,351,36,Yes
100321,50,25368,47317,378,24,Yes
100322,49,24621,9134,684,60,No
100323,26,78829,30892,307,12,Yes
100324,55,149036,44601,513,36,Yes
100325,61,80294,13353,324,60,Yes
100326,57,34719,20690,749,12,No
100327,44,49227,6909,756,60,No
100328,49,129430,30703,760,12,No
100329,51,27566,19496,497,48,Yes
100330,55,32306,17062,393,12,Yes
100331,53,73822,14850,736,36,No
100332,41,44042,32701,826,60,No
100333,52,35086,39731,677,60,No
100334,43,37387,10153,403,60,No
100335,53,47042,15481,338,24,Yes
100336,23,109424,38734,757,24,Yes
100337,38,71618,5889,663,36,No
100338,45,112050,24445,434,48,Yes
100339,62,38323,11461,673,24,No
100340,51,38019,43934,531,12,Yes
100341,23,95426,33205,338,36,Yes
100342,60,60863,28351,346,48,No
100343,44,140953,21006,335,12,Yes
100344,52,131023,49149,394,60,Yes
100345,42,30283,15940,660,24,No
100346,43,38279,16258,824,12,No
100347,22,66999,29485,445,48,Yes
100348,47,82780,28763,667,36,Yes
100349,62,42908,45048,364,12,Yes
100350,22,81584,6067,527,36,No
100351,46,146278,25607,819,60,No
100352,37,133002,48883,480,48,Yes
100353,60,70225,14018,800,48,No
100354,53,57952,20187,454,24,Yes
100355,29,120706,42375,834,48,No
100356,63,57663,8985,734,12,No
100357,59,142019,48052,398,12,No
100358,49,129708,24563,671,12,Yes
100359,62,81381,42306,661,60,Yes
100360,46,67929,23608,411,48,No
100361,55,29343,44139,752,48,Yes
100362,45,96173,6726,468,12,No
100363,44,120260,31582,438,24,No
100364,33,59791,10791,530,24,No
100365,27,49134,13458,538,48,No
100366,56,132366,22221,552,48,Yes
100367,40,67101,25968,735,36,No
100368,21,89443,22070,721,48,No
100369,28,119111,32937,602,12,No
100370,36,77530,46831,371,60,No
100371,34,66799,47933,562,48,Yes
100372,32,24827,42415,521,48,No
100373,43,116143,47770,376,12,Yes
100374,35,82653,25802,361,36,Yes
100375,48,33699,48601,770,48,No
100376,54,122828,15420,456,24,No
100377,22,133497,11642,424,24,No
100378,52,111419,24775,460,24,Yes
100379,43,134527,33754,840,60,No
100380,42,136972,48310,834,60,No
100381,45,25313,9357,405,48,Yes
100382,42,33598,26263,430,48,No
100383,42,131362,18201,656,48,Yes
100384,62,135445,7739,301,60,Yes
100385,26,48807,18231,532,48,Yes
100386,35,90423,47278,668,12,Yes
100387,63,89390,47495,550,36,Yes
100388,57,65226,26168,407,24,Yes
100389,53,79550,37624,575,24,Yes
100390,28,100072,15635,479,12,No
100391,64,23558,14964,592,48,Yes
100392,64,95308,32785,474,60,No
100393,25,70113,34510,422,48,No
100394,59,72999,22261,526,48,Yes
100395,24,75878,24254,743,24,No
100396,26,56343,16392,727,24,No
100397,52,78219,17336,382,60,No
100398,50,55186,16939,364,24,Yes
100399,55,56966,32412,580,48,Yes
100400,60,53769,21676,690,12,No
100401,36,139932,14843,727,60,No
100402,33,146264,30112,406,12,Yes
100403,62,125423,35598,847,48,No
100404,50,73218,40454,561,60,No
100405,39,39229,38001,458,12,No
100406,37,95209,32228,564,60,No
100407,39,47877,19429,767,48,Yes
100408,48,78001,23758,501,60,Yes
100409,46,117137,7272,454,48,Yes
100410,57,58084,22350,312,60,Yes
100411,46,101780,27538,596,60,Yes
100412,43,112892,8400,797,24,No
100413,29,36806,20371,544,48,No
100414,32,108635,42310,599,36,No
100415,21,130177,41291,661,60,Yes
100416,21,57034,23147,653,12,Yes
100417,54,60317,8291,820,24,No
100418,52,75468,40256,685,24,Yes
100419,45,39094,15892,611,60,No
100420,60,77796,39326,713,36,Yes
100421,21,30589,42458,577,24,Yes
100422,36,77221,43889,655,48,Yes
100423,59,144855,49966,824,60,Yes
100424,25,21657,42207,315,60,Yes
100425,42,118300,45288,344,36,Yes
100426,49,137229,30995,620,48,No
100427,23,59531,10409,625,48,No
100428,32,72227,47438,447,36,Yes
100429,46,23164,49874,654,12,Yes
100430,36,113078,49702,535,48,No
100431,57,103973,34823,404,12,No
100432,42,61247,12869,773,12,No
100433,49,124041,40724,695,60,Yes
100434,34,39601,27401,745,60,Yes
100435,48,113966,30958,519,24,Yes
100436,25,70599,15766,741,60,Yes
100437,50,91545,24768,327,48,Yes
100438,25,135295,35794,774,48,No
100439,32,24552,31145,604,12,Yes
100440,36,136452,15086,704,48,Yes
100441,46,29417,48203,812,60,No
100442,46,78579,31442,801,60,No
100443,41,127525,21412,647,60,No
100444,59,88207,30596,539,36,Yes
100445,56,92055,15255,636,48,No
100446,53,122266,47406,325,24,Yes
100447,50,98270,45524,708,48,No
100448,57,131426,28332,376,48,Yes
100449,43,137865,49624,516,36,Yes
100450,30,23722,20764,627,48,No
100451,25,90442,32563,322,12,Yes
100452,56,115632,27139,609,60,No
100453,54,60031,41370,566,60,Yes
100454,51,99235,10062,714,36,No
100455,30,41438,49645,566,60,Yes
100456,39,78819,12244,632,12,No
100457,52,63856,11372,749,36,No
100458,21,53576,44873,546,24,No
100459,25,61938,24965,335,60,Yes
100460,24,69028,49997,700,48,No
100461,36,79807,21956,327,12,Yes
100462,44,69877,45473,519,12,Yes
100463,36,117783,18894,705,60,No
100464,22,63461,38382,570,24,Yes
100465,48,113474,9050,810,48,No
100466,52,60469,21709,585,24,Yes
100467,47,103136,20722,753,24,No
100468,40,40435,20210,616,60,No
100469,44,104117,41545,596,48,Yes
100470,32,34191,43674,637,60,Yes
100471,55,104726,39489,606,60,Yes
100472,53,143658,22733,727,12,No
100473,53,135660,25080,650,60,No
100474,63,47386,41664,810,36,No
100475,57,51721,44709,824,48,No
100476,32,74786,43014,791,12,No
100477,23,33704,46152,308,48,Yes
100478,21,76635,32250,796,12,Yes
100479,53,22123,25229,739,36,No
100480,60,110710,21475,407,60,No
100481,30,129837,48876,544,12,No
100482,63,134912,34011,554,12,No
100483,64,82993,13128,332,12,Yes
100484,49,132752,37450,322,36,Yes
100485,33,100122,23897,348,48,Yes
100486,32,117512,13168,761,36,Yes
100487,51,45416,11861,635,12,Yes
100488,22,21814,46758,657,12,Yes
100489,55,98537,18750,421,60,Yes
100490,43,70258,21988,743,36,Yes
100491,37,36508,7979,658,36,No
100492,46,105166,28524,645,24,Yes
100493,28,98916,12065,492,48,No
100494,49,133710,42684,715,24,Yes
100495,46,55699,28184,676,24,No
100496,30,66335,38365,762,48,No
100497,46,66806,28704,445,60,Yes
100498,54,97853,10622,777,60,No
100499,61,83768,23261,707,48,No
100500,27,55739,49932,585,48,Yes
100501,24,54785,33419,410,36,No
100502,31,51980,39467,349,36,Yes
100503,49,109335,30605,313,36,No
100504,56,120719,34171,433,36,No
100505,45,114702,27164,642,12,No
100506,41,105016,18796,585,12,Yes
100507,56,21609,41854,613,60,No
100508,30,86253,36320,596,12,No
100509,57,105481,5665,463,12,No
100510,29,111128,37694,796,36,Yes
100511,44,48141,29230,315,36,No
100512,55,50009,27995,643,48,Yes
100513,55,147581,31784,377,36,Yes
100514,56,130966,19605,645,48,No
100515,38,26782,22463,371,48,Yes
100516,59,112072,13419,569,12,No
100517,52,119352,38837,586,36,No
100518,44,45933,10263,365,12,Yes
100519,43,97154,45719,367,36,Yes
100520,52,28307,39131,492,12,No
100521,57,112207,42276,354,12,Yes
100522,32,126209,39523,678,12,No
100523,33,128297,5519,467,60,No
100524,43,95874,36106,708,12,No
100525,45,58346,49504,807,24,Yes
100526,55,132138,15514,836,24,No
100527,61,70772,12233,401,24,Yes
100528,50,92084,6102,721,48,No
100529,37,60149,5597,777,12,No
100530,40,106700,24657,419,24,Yes
100531,45,47526,43549,590,48,Yes
100532,42,116758,48565,787,24,No
100533,33,105712,11256,460,36,No
100534,39,148447,48148,377,60,Yes
100535,56,88477,34401,337,12,Yes
100536,32,25695,46548,693,60,Yes
100537,61,59169,11554,740,60,No
100538,39,67947,17664,839,36,No
100539,32,67224,47367,761,36,No
100540,29,65865,29386,593,36,Yes
100541,27,45553,9846,699,48,Yes
100542,48,124501,31205,391,24,Yes
100543,34,80410,30570,305,12,No
100544,51,123754,35255,570,36,No
100545,39,110895,26182,398,12,No
100546,36,44816,44373,825,12,No
100547,25,75026,48019,493,12,Yes
100548,55,70705,21043,456,36,No
100549,32,81922,40754,414,36,Yes
100550,45,135700,5400,695,24,No
100551,41,93914,24239,821,36,No
100552,56,21881,15416,513,36,No
100553,43,59567,8412,832,12,No
100554,36,67365,21440,314,24,Yes
100555,59,147928,29406,718,60,No
100556,62,99211,6875,667,36,No
100557,59,90122,42066,512,36,Yes
100558,34,45006,41536,304,60,No
100559,51,61198,10752,530,12,No
100560,25,42831,26217,500,24,No
100561,55,120649,17489,701,12,No
100562,43,36459,6353,448,48,No
100563,49,52443,31986,791,36,No
100564,63,62316,26371,525,48,Yes
100565,31,116131,44365,468,36,Yes
100566,38,84486,19691,451,48,Yes
100567,32,25877,9311,523,60,No
100568,29,59553,15794,803,36,No
100569,30,134137,7934,849,36,No
100570,64,24922,21406,343,48,Yes
100571,37,142778,15394,803,24,No
100572,58,137018,31872,540,48,Yes
100573,27,24686,46708,650,36,Yes
100574,33,52766,46093,322,36,No
100575,60,99943,25800,342,24,Yes
100576,62,52006,48397,765,12,Yes
100577,29,51422,42909,339,24,Yes
100578,47,136590,26352,602,12,Yes
100579,22,148886,41439,474,36,Yes
100580,25,32205,33312,831,60,No
100581,49,106590,45060,760,60,No
100582,57,43527,20438,492,48,No
100583,58,131483,28385,543,24,Yes
100584,39,38443,49999,579,24,No
100585,28,36524,23482,335,60,No
100586,21,136477,37471,839,12,Yes
100587,42,48202,48877,453,24,Yes
100588,37,85552,46212,322,12,Yes
100589,27,66142,18026,390,12,No
100590,45,81692,47089,689,12,No
100591,24,102384,24648,658,12,No
100592,56,40855,10435,849,48,No
100593,26,103747,13493,527,48,No
100594,51,80372,11691,501,60,Yes
100595,39,45095,7763,649,48,No
100596,64,58724,25389,337,24,Yes
100597,59,69241,36498,799,48,Yes
100598,47,123119,41009,342,24,Yes
100599,30,72003,40825,816,24,No
100600,46,88379,21934,367,12,No
100601,39,114837,10574,422,60,Yes
100602,59,111996,43179,635,12,No
100603,23,117454,6587,452,12,No
100604,33,114283,47782,461,48,No
100605,48,35972,43688,513,48,No
100606,40,143805,16688,675,24,No
100607,48,113846,9409,742,48,No
100608,28,42927,10783,722,48,No
100609,61,140589,38480,837,36,No
100610,59,135657,31751,529,24,No
100611,21,86630,43174,358,24,No
100612,23,124428,17041,395,36,No
100613,33,142035,28227,561,24,Yes
100614,48,72347,40201,653,60,No
100615,45,119708,41069,611,60,No
100616,53,146244,21654,435,36,Yes
100617,58,108860,31370,772,48,No
100618,26,106210,34482,729,60,No
100619,64,89518,16586,836,36,No
100620,52,65283,10322,445,60,Yes
100621,41,101326,18932,823,12,No
100622,36,32205,34299,386,36,No
100623,41,140243,30179,408,24,Yes
100624,31,109874,10257,722,60,No
100625,57,32748,14777,644,24,No
100626,56,41097,16249,565,36,No
100627,55,23092,26390,793,60,No
100628,39,73311,25369,632,24,No
100629,40,42692,17881,712,48,No
100630,38,144954,14587,490,48,Yes
100631,61,43862,33264,441,12,No
100632,34,110396,13791,372,36,No
100633,35,99507,46473,466,24,Yes
100634,51,100152,27375,467,12,Yes
100635,21,90469,27611,558,36,Yes
100636,23,24926,47026,738,48,No
100637,36,111299,12833,410,24,Yes
100638,43,23969,20754,830,60,No
100639,31,55733,47048,589,48,Yes
100640,32,89855,17577,809,60,No
100641,30,61743,36095,474,60,No
100642,52,59876,26248,601,24,No
100643,36,127445,40282,484,24,No
100644,28,40323,41737,638,60,Yes
100645,58,36428,36891,809,12,Yes
100646,32,54578,29124,609,60,No
100647,44,106486,9566,806,60,No
100648,48,128577,7196,645,24,No
100649,28,84140,36115,380,36,No
100650,48,146378,24859,673,48,No
100651,56,127325,16345,455,24,Yes
100652,46,103829,39077,731,12,Yes
100653,28,26364,5864,799,48,No
100654,48,148867,17055,446,24,No
100655,48,55349,43157,780,24,No
100656,57,20691,24747,734,36,No
100657,61,146899,49484,818,12,Yes
100658,56,115598,16978,368,12,No
100659,47,86467,29599,485,24,No
100660,37,65896,40771,503,36,No
100661,29,77062,22615,312,24,Yes
100662,53,117266,45727,573,60,Yes
100663,40,99762,49748,597,60,No
100664,33,33861,44349,350,36,No
100665,48,116837,34377,799,24,No
100666,49,133779,35031,668,36,No
100667,33,108302,47733,656,24,Yes
100668,55,121710,16760,302,24,No
100669,26,83928,38714,553,60,No
100670,38,126643,30762,774,48,No
100671,25,135720,39332,805,12,No
100672,45,103231,45100,555,12,Yes
100673,22,61347,9944,449,36,No
100674,30,23121,18877,787,12,No
100675,50,103793,34990,578,60,Yes
100676,25,48164,47907,358,48,No
100677,53,45491,39076,745,24,Yes
100678,21,79222,8258,412,24,Yes
100679,38,43165,36629,788,60,Yes
100680,52,134250,42579,706,12,Yes
100681,31,23748,27958,666,24,No
100682,41,118581,44465,359,12,Yes
100683,46,46553,25317,628,60,Yes
100684,45,136547,20775,768,24,No
100685,42,80380,16039,362,36,No
100686,47,64331,34097,483,48,Yes
100687,33,116033,39207,610,12,No
100688,53,116844,27553,837,12,No
100689,54,140617,49402,476,12,No
100690,61,59560,5055,728,12,No
100691,55,73865,28161,372,60,No
100692,21,66686,37873,466,60,Yes
100693,41,95910,40969,524,60,Yes
100694,26,24675,20184,308,60,Yes
100695,48,86706,5669,535,24,No
100696,37,126985,17663,327,60,No
100697,25,129021,30318,326,24,Yes
100698,51,144062,38734,849,36,Yes
100699,25,147359,21691,495,60,Yes
100700,58,97986,23522,502,36,Yes
100701,23,96216,16656,384,60,No
100702,43,30068,20893,329,36,No
100703,57,74460,21493,765,48,No
100704,57,120766,8632,398,36,No
100705,30,66418,35336,489,24,No
100706,30,46206,28112,311,12,Yes
100707,39,148180,43452,329,36,Yes
100708,37,20287,18266,337,12,No
100709,41,42337,21940,593,48,No
100710,34,40666,29003,659,48,No
100711,29,136595,37872,479,24,No
100712,21,21161,39815,411,24,No
100713,33,134817,35869,743,36,No
100714,24,141025,22257,320,60,No
100715,21,120667,21682,444,48,Yes
100716,60,110071,24622,798,12,No
100717,52,118064,35408,445,60,Yes
100718,54,58751,13837,740,48,No
100719,48,102063,20407,720,36,No
100720,51,126511,34309,615,48,No
100721,28,109389,11382,465,24,No
100722,59,34758,32654,502,12,No
100723,46,85780,23895,795,12,No
100724,54,135614,38551,767,24,No
100725,23,23178,26376,684,60,No
100726,32,51831,5370,613,24,No
100727,21,22176,5486,554,12,Yes
100728,64,123306,28762,322,36,No
100729,25,53654,31613,638,60,No
100730,50,143220,8196,792,48,No
100731,50,46627,47320,810,36,No
100732,37,72550,34401,665,60,Yes
100733,43,132025,40029,671,12,Yes
100734,35,64910,15813,518,12,No
100735,57,110417,46916,774,36,No
100736,41,78251,13572,722,60,Yes
100737,34,55422,33225,655,48,No
100738,22,31984,37275,759,48,No
100739,31,109312,11843,802,24,No
100740,59,81386,6105,326,36,No
100741,58,103291,48209,522,60,No
100742,54,27135,36639,447,36,Yes
100743,58,20320,47487,723,48,Yes
100744,54,122958,23051,650,60,Yes
100745,38,114171,33708,485,12,No
100746,50,41684,40459,714,12,Yes
100747,35,75913,16864,728,60,No
100748,47,108774,39764,340,36,Yes
100749,54,41889,6425,692,36,No
100750,58,115849,11849,378,12,Yes
100751,53,118071,41015,843,12,No
100752,44,68899,23976,749,48,No
100753,35,144011,39258,773,60,No
100754,50,30770,36113,441,36,No
100755,62,59321,20401,550,48,No
100756,37,105962,17884,593,36,No
100757,25,129863,23824,435,12,No
100758,49,61777,42563,783,60,No
100759,24,66250,39414,611,24,Yes
100760,30,93034,21142,345,60,No
100761,37,124940,10956,535,24,No
100762,30,60130,18928,347,48,No
100763,37,101931,14721,497,24,No
100764,40,69346,16157,383,24,Yes
100765,44,22537,40135,842,48,No
100766,25,104762,11696,460,60,Yes
100767,54,35216,32862,727,48,No
100768,26,104149,10190,370,12,No
100769,22,23009,9663,819,12,No
100770,33,109904,44830,351,24,Yes
100771,63,49327,9331,344,48,Yes
100772,63,34209,49648,592,48,Yes
100773,31,68443,33549,764,48,No
100774,43,35029,21246,849,60,No
100775,36,87613,30761,679,36,No
100776,51,99443,8262,777,36,No
100777,31,76997,12036,561,36,No
100778,36,122171,27322,478,60,Yes
100779,28,134456,24131,656,48,Yes
