study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
20.7,73.5,Yes,45.9,Pass
19.8,66.8,No,67.5,Pass
18.3,81,No,97.5,Pass
13.4,74.4,No,71.5,Pass
18.8,91.5,No,60,Pass
11.1,76.7,No,59.2,Pass
13.8,77.3,Yes,33.7,Pass
12.6,69.5,Yes,82.7,Fail
15.4,74.1,Yes,63.4,Pass
26.6,79.6,No,61.4,Pass
5.7,49.3,No,100,Pass
18.4,54.8,Yes,71,Pass
6.9,86.1,No,50,Pass
12.6,77.6,Yes,56.5,Pass
20.4,72.2,No,88,Pass
15.3,75.3,Yes,67.3,Pass
9.6,80.2,Yes,36.2,Pass
11.4,66.9,Yes,83.4,Fail
18.4,63.3,Yes,51.6,Pass
11.3,77.9,Yes,100,Pass
16.1,60.3,Yes,86.6,Pass
15.2,81.1,No,56.1,Pass
11.7,49.5,Yes,90.6,Pass
25.7,90.4,Yes,66.4,Pass
18.2,82.1,No,82.1,Pass
4.9,78.8,No,74.7,Pass
15.9,89.7,Yes,48.1,Pass
11.7,100,Yes,52.1,Fail
19.3,90.2,Yes,85.6,Pass
11,47.4,Yes,58.3,Pass
14.4,55.8,No,56.9,Pass
17.5,65.6,Yes,45.9,Pass
19.3,75.4,Yes,73.5,Pass
9,82.8,No,100,Pass
13.3,64.1,Yes,43.6,Pass
12.6,77.8,Yes,65.5,Pass
11.7,63.7,Yes,93.2,Pass
23.8,65.8,No,63.4,Pass
17,53.9,Yes,74,Pass
8.7,61.2,No,43.8,Fail
19.6,54.7,Yes,73.6,Pass
25.6,60.4,Yes,61.3,Pass
20.2,90.8,No,84.7,Pass
7.4,60.8,No,88.7,Pass
12.6,100,No,100,Pass
21.3,82.4,No,76.6,Pass
11.5,77.8,No,71.5,Pass
17.2,62.1,Yes,68.9,Pass
18.9,85.5,Yes,57.9,Pass
10.4,66.4,No,71.8,Pass
14.7,76.8,Yes,59.1,Pass
0,100,No,68.4,Pass
9.9,73.6,No,91.4,Pass
13.7,92.2,Yes,44.9,Pass
8.8,64.5,Yes,87.8,Pass
23.2,74.5,No,91.3,Pass
7.8,100,Yes,62.6,Pass
12.8,65.6,No,22.6,Pass
15.7,100,Yes,52.8,Pass
22.2,85.6,No,90.9,Pass
7.8,66.6,Yes,64.5,Pass
20.8,84.5,No,45,Pass
15.1,89.6,Yes,54.9,Pass
10.1,84.3,Yes,81.8,Pass
17.3,51.4,Yes,75.9,Pass
16,64.1,No,60.2,Fail
12,71.3,No,57.7,Pass
15.3,73.9,Yes,57.2,Pass
13.1,84.3,Yes,46.6,Pass
15.6,77.7,Yes,97.3,Pass
18.3,55,No,58.6,Pass
22.9,80.7,No,89.3,Pass
8.8,84.2,Yes,95.4,Fail
25.7,83.4,Yes,85,Pass
5.2,91.2,Yes,56.4,Pass
14.2,87.5,Yes,73.1,Pass
17.9,81.9,Yes,64.5,Pass
16.4,73.9,No,46.9,Pass
11.9,50.1,Yes,71.5,Pass
14,81.4,No,41.4,Pass
12.5,78.1,Yes,88.8,Pass
12.1,79.1,Yes,55.7,Pass
19.2,55.8,No,69,Pass
16.8,58.8,No,70.7,Pass
11.5,90.8,No,59.8,Pass
19.5,74.4,Yes,76.7,Pass
16.5,85.2,Yes,55.5,Pass
19.1,75.4,No,82.4,Pass
18.1,75.4,Yes,38.1,Fail
10.9,89.1,Yes,67.5,Pass
12.2,67.3,Yes,100,Pass
18.7,76.4,Yes,45,Pass
18.1,68.1,No,51.4,Pass
14.9,68.5,Yes,75.3,Pass
15.6,70.4,Yes,68.6,Pass
21.4,78.3,Yes,72,Pass
12,67.8,Yes,74.8,Pass
17.7,93.8,Yes,77.7,Pass
14,61.6,Yes,87.2,Pass
13.9,72.2,Yes,73.2,Pass
20.5,68.4,No,60.2,Pass
19.1,96.7,Yes,78.5,Pass
19.1,77.9,Yes,100,Pass
21.5,90.5,No,62.3,Pass
15.1,52.7,No,45.5,Fail
18.4,79,Yes,87.1,Pass
13.4,88.3,Yes,62.6,Pass
16.6,76.2,Yes,21.5,Fail
14.3,91,No,81.9,Pass
15.5,67.2,No,54.3,Fail
18,96.1,No,63.2,Pass
10.9,100,Yes,71.6,Pass
25.5,69.6,No,68.8,Pass
10,68.3,Yes,79.2,Pass
8.9,96.8,Yes,56.3,Pass
20.8,98.7,Yes,75.3,Pass
19,67.2,No,59.8,Pass
18.1,68.7,Yes,79.8,Pass
18.1,70.8,No,77.3,Pass
14.9,54.8,Yes,46.3,Pass
10.5,61.2,Yes,86.7,Pass
15.4,59.9,Yes,54.3,Pass
11.6,63.5,Yes,81.2,Pass
19.9,74.5,No,72.3,Pass
14.3,78.5,Yes,100,Pass
10.9,98.3,No,60.5,Fail
13.4,60,No,58,Pass
17.1,89.8,No,64.6,Pass
12.2,71.8,Yes,58.9,Fail
10.9,74.3,Yes,81,Pass
16.2,85.1,Yes,32.7,Pass
16.2,58.2,No,43.9,Pass
12.5,80.7,No,43.6,Pass
12.6,77.5,Yes,84,Pass
16.2,82.4,No,99.2,Pass
7.8,79.3,Yes,62.9,Pass
8,100,No,61.6,Fail
11.4,65.4,Yes,66.4,Pass
13.9,67,No,88.2,Pass
16.6,65.7,Yes,46.5,Pass
22.4,66.7,No,69.8,Pass
19.3,65.4,No,84.5,Pass
14.2,92.8,No,75,Pass
14.9,96.3,Yes,68.8,Pass
10,66.4,Yes,85,Pass
14.9,62.5,Yes,10.9,Pass
13.6,82.1,Yes,78.6,Pass
16.6,66.7,Yes,51.9,Pass
10.9,84.5,No,28.4,Pass
17.6,78,Yes,75.2,Pass
22.7,52.3,Yes,92.5,Pass
14.5,98.2,Yes,62.3,Pass
17,100,Yes,84.1,Pass
18.5,65.8,No,97.2,Pass
13,69.2,Yes,91.3,Pass
16.1,79.3,No,97.8,Pass
15.1,80,Yes,79.8,Pass
15.5,84.9,No,66.5,Fail
11.1,100,No,33,Pass
15.1,72.3,Yes,60.1,Fail
17.5,63,No,48.1,Fail
22.3,54.3,Yes,100,Pass
19.8,64,No,61.5,Pass
25.8,74.5,Yes,67.5,Pass
11.2,100,No,76,Pass
19.4,67.2,No,65.9,Pass
15.9,78.4,No,98.9,Pass
25.9,74.8,No,52.5,Pass
11,92.8,Yes,68.9,Pass
10.8,100,Yes,50.2,Fail
12,67,Yes,38.6,Pass
4.4,67.7,Yes,52.8,Fail
12.4,90.7,No,64.3,Fail
11.2,85.2,Yes,56.4,Fail
15.8,100,No,51.2,Fail
16.7,83.8,No,36.9,Pass
24.4,69.6,No,63.3,Pass
19.8,83.9,Yes,34.9,Pass
12.1,91.6,No,80.2,Pass
10.5,87.3,No,66.6,Pass
17.5,82.6,Yes,35.8,Pass
8.4,91,No,58.8,Pass
24.2,92.5,No,50,Pass
20.9,95.7,Yes,71.4,Pass
12.7,84.7,Yes,91.8,Pass
6.4,72.5,Yes,27.5,Pass
21.8,77.2,Yes,67.3,Pass
14.4,93.1,Yes,61.8,Pass
21.2,62.7,Yes,78.4,Pass
7,80.5,Yes,69.3,Pass
12,69.1,Yes,50,Pass
15,75.4,No,58.6,Fail
15.2,94.2,Yes,49.1,Pass
12.7,77.9,No,86.5,Pass
18.1,75.7,Yes,65.4,Pass
9.7,54.6,Yes,100,Pass
14.3,86.2,Yes,63.8,Pass
15.6,84.7,Yes,50.8,Pass
17.6,100,Yes,34.7,Pass
18.6,70.4,No,28.9,Pass
9.4,78.3,Yes,33.3,Pass
7.3,78.7,No,70.3,Pass
21.4,98.7,No,75.2,Pass
16.7,73.6,Yes,33.4,Pass
11.3,79.2,Yes,82.9,Pass
22.8,84.1,No,55.3,Pass
15.6,77.8,Yes,67.9,Pass
20.9,68.3,Yes,97.2,Pass
15.3,77.9,No,82.9,Pass
25.3,91.1,Yes,59.6,Pass
23.8,59.6,No,47.2,Pass
13.8,77,No,22,Pass
19.9,64.5,Yes,50.6,Pass
18.2,92.9,Yes,60.8,Pass
21.8,52.2,Yes,45.3,Pass
10.2,66.6,Yes,62.4,Pass
18.4,80.7,Yes,66.5,Pass
20.3,98.5,No,60.5,Pass
6.2,74,Yes,52,Pass
9.1,66.7,Yes,68.4,Pass
4.8,100,No,73.8,Pass
13.7,53.3,No,43.2,Pass
18.6,42,No,93.2,Pass
22.5,81.6,Yes,63,Pass
15.4,67.5,No,65.4,Pass
23.1,59.7,Yes,79.2,Pass
8.1,85.6,Yes,69.7,Pass
6.5,78.7,Yes,84.1,Pass
14.7,66.5,No,70.7,Pass
16.9,55.8,Yes,52.8,Pass
14.8,88.1,Yes,72.2,Pass
4.7,84.8,Yes,42.1,Fail
14.6,73.5,Yes,67.2,Pass
8.5,100,No,64.3,Fail
18.3,58.9,No,60.8,Pass
16.8,52.1,No,62.4,Pass
10.3,64.6,Yes,27.4,Pass
12.4,74.3,Yes,54,Pass
9.7,78.7,Yes,66.9,Pass
14.7,71.4,Yes,68.2,Pass
19.8,80.3,Yes,44.4,Pass
10.1,56.2,No,90.3,Pass
17.5,96.7,Yes,47.7,Fail
12.3,73.8,Yes,84.4,Pass
11,91.8,Yes,73.5,Pass
14.5,80.1,Yes,52.1,Pass
9.8,81.9,Yes,100,Pass
12.2,83.5,No,41.1,Pass
9,81.7,No,83.4,Pass
24.8,84.6,No,85,Pass
15.2,94.9,Yes,51.6,Pass
11.5,77.9,Yes,92.8,Pass
16.1,85.6,Yes,60,Pass
14.4,73.7,Yes,70.8,Pass
13.9,96.6,No,70.2,Pass
18.1,64.9,Yes,62.3,Pass
18.8,100,Yes,81.2,Pass
12.3,74.4,Yes,80.9,Pass
12.1,53.5,Yes,30,Pass
13.6,76.9,No,91.1,Pass
3.5,64.8,Yes,31.8,Fail
7.4,87.6,Yes,85.7,Pass
21.8,65.2,Yes,87.5,Pass
23.2,68.3,Yes,43.2,Pass
13.8,46.7,No,56.8,Pass
17.9,68.2,No,42.9,Pass
16.6,38.6,No,60.7,Pass
30.4,51.2,No,58.8,Pass
20.6,86.4,Yes,80.6,Pass
14.4,86.8,No,91.2,Pass
10.2,81.4,Yes,92.9,Pass
7,60.5,Yes,53.8,Pass
16,74.3,No,60.8,Pass
11.2,74.9,Yes,31.3,Pass
7.9,57.6,No,48.9,Pass
11.8,97.6,Yes,84.3,Pass
9.6,88.2,No,97.3,Pass
23.4,71.7,No,40.3,Fail
19.4,75.4,No,53.2,Pass
15,78.1,No,64.5,Pass
22.4,44.4,No,70.6,Pass
15.4,71.3,Yes,48.8,Pass
10.7,64.8,Yes,73.5,Pass
22.6,60,Yes,55.5,Pass
17.7,70.8,No,64.7,Pass
9.8,100,Yes,75.9,Pass
14,84.6,No,65.1,Pass
10.6,66.4,Yes,56.3,Pass
8.1,83.6,Yes,62.8,Fail
